Title	URL	Status	Sprint	Task Type	Nature	Epic	Assignees	Estimated Time	Linked pull requests	Priority
Server setup for notifs (private server)	https://github.com/LASTA-OUTDOOR/lasta/issues/247	Done in Sprint 8	Sprint 8	Backend	Sprint Task	User's experience (UX/UI)	JeremyHugentobler	4h		Important
Implementation of the "Share" Button of an activity	https://github.com/LASTA-OUTDOOR/lasta/issues/248	Done in Sprint 8	Sprint 8	Frontend	Sprint Task	Social	JeremyHugentobler	5h	https://github.com/LASTA-OUTDOOR/lasta/pull/264	TOP
Make the filters work, so that they are well displayed in desired order	https://github.com/LASTA-OUTDOOR/lasta/issues/251	Done in Sprint 8	Sprint 8	Backend	Sprint Task	Activities Interactivity	ecornamu	8h		TOP
Add a step counting feature and display the step count in a component	https://github.com/LASTA-OUTDOOR/lasta/issues/278	Done in Sprint 8	Sprint 8	Frontend + backend	Sprint Task	Tracking	ecornamu	6h		Interesting to have
Add the possibility to share activities to a friend via lasta messages (please split into smaller taks)		In Development	Sprint 9	Frontend + backend	Sprint Task	Activities Interactivity	CassioManuguerra	13h+		Important
Bugfix location suggestions on the search bar		In Development	Sprint 9	Frontend	Sprint Task	User's experience (UX/UI)	JeremyHugentobler	3h		TOP
Test and adapt the design and language display for different phone formats		In Development	Sprint 9	Frontend	Sprint Task	User's experience (UX/UI)	JeremyHugentobler	4h		Interesting to have
Implement the Welcome page before the Login when you enter the app		In Development	Sprint 9	Frontend	Sprint Task	User's experience (UX/UI)	JeremyHugentobler	4h		Important
Add the Welcome page design to figma		In Development	Sprint 9	Figma	Sprint Task	User's experience (UX/UI)	JeremyHugentobler	2h		Important
Redesign UI FilterScreen	https://github.com/LASTA-OUTDOOR/lasta/issues/256	Done in Sprint 8	Sprint 8	Frontend	Sprint Task	User's experience (UX/UI)	JoniDutoit	7h	https://github.com/LASTA-OUTDOOR/lasta/pull/262	TOP
Change itinerary and icons design from the map	https://github.com/LASTA-OUTDOOR/lasta/issues/265	Done in Sprint 8	Sprint 8	Frontend	Sprint Task	Activities Interactivity	JoniDutoit	6h	https://github.com/LASTA-OUTDOOR/lasta/pull/271	Important
RangeSearch interacts with the map	https://github.com/LASTA-OUTDOOR/lasta/issues/260	In Development	Sprint 9	Frontend	Sprint Task	Activities Interactivity	JoniDutoit	5h		Important
Add images to each activity from the list		In Development	Sprint 9	Frontend	Sprint Task	Activities Interactivity	JoniDutoit	4h		Important
Work on the overrall design of the discover screen		In Development	Sprint 9	Frontend	Sprint Task	Activities Interactivity	JoniDutoit	3h		Important
Improving UI design	https://github.com/LASTA-OUTDOOR/lasta/issues/237	Done in Sprint 7	Sprint 7	Frontend	Sprint Task	User's experience (UX/UI)	JoniDutoit	6h	https://github.com/LASTA-OUTDOOR/lasta/pull/236	Interesting to have
Implement notification service server to talk with Firebase cloud messaging (Server is on another repo in the organisation)	https://github.com/LASTA-OUTDOOR/lasta/issues/281	Done in Sprint 7	Sprint 7	Backend	Sprint Task	Social	Andy130604	5h		Important
Start tracking feature by implementing a GPS callback class.	https://github.com/LASTA-OUTDOOR/lasta/issues/280	Done in Sprint 7	Sprint 7	Frontend	Sprint Task	Tracking	Andy130604	7h		Important
Notification system for Lasta	https://github.com/LASTA-OUTDOOR/lasta/issues/273	Done in Sprint 7	Sprint 7	Backend	Sprint Task	Social	CassioManuguerra	7h		TOP
Figma design for Tracking	https://github.com/LASTA-OUTDOOR/lasta/issues/210	Done in Sprint 7	Sprint 7	Figma	Sprint Task	Tracking	JoniDutoit, Thimphou	6h		TOP
Battery saving mode		Product Backlog		Backend	User Story	User's experience (UX/UI)				
Immersive customizable UI		Product Backlog		Frontend	User Story	User's experience (UX/UI)				
Link with other sportive apps		Product Backlog		Backend	User Story					
Group Feature		Product Backlog		Backend	User Story	Social				
Sustainable Travel Tips and Eco-Challenges		Product Backlog		Backend	User Story	Activities Interactivity				
Augmented Reality (AR) Features		Product Backlog		Backend	User Story	User's experience (UX/UI)				
Integration with Wearable Devices		Product Backlog		Backend	User Story	Tracking				
Functional offline mode for Login screen and Profile screen		In Development	Sprint 9	Frontend + backend	Sprint Task	User's experience (UX/UI)	npfrei	8h		Important
Allow the user to only review an activity once and modify their review		In Development	Sprint 9	Frontend + backend	Sprint Task	Activities Interactivity	npfrei	5h		TOP
Redesign favorite and discover screen to explain when no activities are displayed	https://github.com/LASTA-OUTDOOR/lasta/issues/287	In Development	Sprint 9	Frontend	Sprint Task	User's experience (UX/UI)	Thimphou	3h		Interesting to have
Implement Delete account functionnality on SettingsScreen button.	https://github.com/LASTA-OUTDOOR/lasta/issues/286	In Development	Sprint 9	Frontend	User Story	Users	Thimphou	4h		Important
